alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1739742039.9596,elite,2454.3931652571,1738624815.6377,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shanghai,Asia,AS,China,CN,,false,Chinanet,31.2222,121.4581,false,"Chinanet SC",false,Shanghai,success,Asia/Shanghai,,1739239286,1739742162.7617,2324,http,http://118.113.244.251:2324,false,2029.5858383179,524,11438,4.3805383715098,118.113.244.251
true,1739742162.6716,transparent,5719.9515605962,1736161153.086,"AS150942 LAMBDA",IDNIC-LAMBDA-AS-ID,Cileungsir,Asia,AS,Indonesia,ID,,false,"PT Lambda Sinergi Telekomunikasi",-6.39472,106.959,false,,true,"West Java",success,Asia/Jakarta,,1739317280,1739742162.6716,2022,http,http://103.105.57.64:2022,false,8969.3214893341,4244,43222,8.9411368137193,103.105.57.64
true,1739742162.6561,elite,4357.5253889272,1732758184.5886,"AS140292 CHINATELECOM Jiangsu province Suzhou 5G network",CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"China Telecom",32.0607,118.763,false,"Chinanet JS",true,Jiangsu,success,Asia/Shanghai,210000,1739324170,1739742162.6561,8089,http,http://58.209.71.92:8089,false,2823.4810829163,1357,33622,3.8794705394665,58.209.71.92
true,1739742162.5771,transparent,5460.8754493572,1739711911.0345,"AS9299 Philippine Long Distance Telephone Company",IPG-AS-AP,"Cebu City",Asia,AS,Philippines,PH,,false,"Philippine Long Distance Telephone Co.",10.3099,123.893,false,"Philippine Long Distance Telephone Company",false,"Central Visayas",success,Asia/Manila,6000,1739711913,1739742162.5771,8082,http,http://49.146.249.140:8082,false,6901.9620418549,54,388,12.217194570136,49.146.249.140
true,1739742162.5058,transparent,6310.5260434084,1738915576.226,"AS264754 SWISSNET S.R.L.","SWISSNET S.R.L.","Jardín América","South America",SA,Argentina,AR,,false,"Swissnet S.R.L.",-27.02,-55.2611,false,"Swissnet S.R.L",false,Misiones,success,America/Argentina/Cordoba,3328,1739521225,1739742162.5058,999,http,http://168.194.140.132:999,false,7730.4203510284,1286,10845,10.600939741159,168.194.140.132
true,1739742162.3469,transparent,6728.5069257357,1724904518.1917,"AS271421 LCD Serviços de Telecomunicações Multimidia","LCD Serviços de Telecomunicações Multimidia",Camaçari,"South America",SA,Brazil,BR,,false,"LCD Serviços de Telecomunicações Multimidia",-12.6962,-38.3258,false,"LCD Serviços de Telecomunicações Multimidia",false,Bahia,success,America/Bahia,42821,1739441479,1739742162.3469,9500,http,http://132.255.223.1:9500,false,2085.7222080231,7282,201041,3.4955333784556,132.255.223.1
true,1739742145.9319,elite,2790.8544815582,1710558779.6442,"AS20632 PJSC MegaFon",PETERSTAR-AS,"St Petersburg",Europe,EU,Russia,RU,,false,"PJSC Megafon SZF",59.9311,30.3609,true,"JSC PeterStar",true,St.-Petersburg,success,Europe/Moscow,,1739317306,1739742162.2693,3128,http,http://46.47.197.210:3128,false,140.8212184906,235844,189461,55.452910264398,46.47.197.210
true,1739742161.9291,transparent,5929.2580182595,1738170163.7686,"AS141071 PT Jembatan Data Pangrango",JEMBATANDATA-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,"PT Jembatan Data Pangrango",-6.22404,106.846,false,"PT Apik Media Inovasi",true,Jakarta,success,Asia/Jakarta,,1739380699,1739742161.9291,8080,http,http://103.97.140.79:8080,false,1542.9427623749,1955,16316,10.700016419463,103.97.140.79
true,1739742161.7623,transparent,4760.4287420092,1733595965.6898,"AS38511 PT Remala Abadi",TACHYON-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,"PT Remala Abadi",-6.2114,106.8446,false,,true,Jakarta,success,Asia/Jakarta,11730,1739317276,1739742161.7623,3127,http,http://101.255.118.9:3127,false,1992.1779632568,8873,75599,10.504072355337,101.255.118.9
true,1739742161.729,elite,7816.3695080814,1716490445.6743,"AS57043 HOSTKEY B.V.",HOSTKEY-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Hostkey B.V.",52.3759,4.8975,false,"Hostkey B.V",true,"North Holland",success,Europe/Amsterdam,1012,1739211235,1739742161.729,15122,socks4,socks4://31.207.47.29:15122,true,8180.6733608246,487,77862,0.62157781209716,31.207.47.29
true,1739742161.642,transparent,5366.8904027273,1739710470.1566,"AS202561 High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.",highspeed,Ankara,Asia,AS,Turkey,TR,,false,"High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.",39.9334,32.8597,false,"Datatelekom Bilgisayar Internet Bilisim Yazilim ve Telekomunikasyon Hizmetleri San ve Dis Tic Ltd Sti",false,Ankara,success,Europe/Istanbul,06050,1739708948,1739742161.642,8080,http,http://188.125.169.144:8080,false,4969.8882102966,43,412,9.4505494505495,188.125.169.144
true,1739741959.1623,elite,1494.9505650828,1710699776.4593,"AS23764 CTGNet",CTGNet,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"China Telecom Global networks",22.3193,114.169,false,,true,Kowloon,success,Asia/Hong_Kong,999077,1739317361,1739742161.368,1080,http,http://203.19.38.114:1080,false,532.64284133911,264959,176480,60.021656446304,203.19.38.114
true,1739742161.3407,transparent,6412.7344485902,1736414685.1145,"AS37317 AccessGlobal Communication (Pty) Ltd",AccessGlobal-AS,Dealesville,Africa,AF,"South Africa",ZA,,false,"WSINET Pool2",-28.6693,25.7703,false,,true,"Free State",success,Africa/Johannesburg,9348,1739438530,1739742161.3407,8085,http,http://41.79.16.154:8085,false,6411.4093780518,4479,39781,10.119746949842,41.79.16.154
true,1739739374.3171,elite,667.64222467298,1710634199.9483,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1739320684,1739742161.2925,8989,http,http://47.56.110.204:8989,false,542.4633026123,233535,226615,50.751928718896,47.56.110.204
true,1739741998.4475,elite,1579.5301790339,1730540747.6781,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Hangzhou,Asia,AS,China,CN,,false,"China Unicom Zhejiang Province Network",30.2943,120.1663,false,,true,Zhejiang,success,Asia/Shanghai,,1739613409,1739742161.2652,8092,http,http://101.71.143.237:8092,false,929.60548400879,54793,75571,42.030775367433,101.71.143.237
true,1739742009.9137,transparent,6629.5612798744,1715569883.6711,"AS24534 PT. Transhybrid Communication",TRANSHYBRID-AS-ID,Sambas,Asia,AS,Indonesia,ID,,false,"PT. Transhybrid Communication",1.33333,109.25,false,,true,"West Kalimantan",success,Asia/Pontianak,,1739470923,1739742161.2227,3125,http,http://58.147.186.226:3125,false,2236.0193729401,26113,334629,7.238691363911,58.147.186.226
true,1739742161.1994,transparent,6288.6834013051,1738914890.776,"AS141673 PT Mamura Inter Media",IDNIC-MAMURA-AS-ID,Wonogiri,Asia,AS,Indonesia,ID,,false,"PT Mamura Inter Media",-7.8134,110.9172,false,"PT Mamura Inter Media",true,"Central Java",success,Asia/Jakarta,57652,1739519798,1739742161.1994,1212,http,http://103.163.103.81:1212,false,9185.6594085693,1160,10988,9.5488969377675,103.163.103.81
true,1739741997.5065,anonymous,2675.0640109633,1730715717.4876,"AS4230 CLARO S.A.","CLARO S.A.","São Paulo","South America",SA,Brazil,BR,,false,"Claro S.A",-23.5558,-46.6396,false,"Telcabos - Telecomunicações e Informática",true,"São Paulo",success,America/Sao_Paulo,01000-000,1739317285,1739742161.0932,80,http,http://189.22.234.32:80,false,1760.4594230652,62168,53007,53.976991534621,189.22.234.32
true,1739742160.969,transparent,6069.5076173226,1733583244.4693,"AS141983 PT Rajeg Media Telekomunikasi",IDNIC-RAJEGNET-AS-ID,Tangerang,Asia,AS,Indonesia,ID,,false,"PT Rajeg Media Telekomunikasi",-6.177,106.6284,false,"PT Rajeg Media Telekomunikasi",true,Banten,success,Asia/Jakarta,15810,1739317554,1739742160.969,1111,http,http://103.167.170.22:1111,false,2312.4899864197,9707,74906,11.472232399277,103.167.170.22
